image_path,umap_x,umap_y,cluster
../data_3\102021017_NEG634146279486865014_102021017_NEG634146279486865014_sw_mtf_vis_only.jpg,-3.4678047,-3.9339411,1
../data_3\102021017_NEG637928660482715254_102021017_NEG637928660482715254_sw_mtf_vis_only.jpg,-0.47943467,-3.2805316,0
../data_3\102021018_NEG640120110483854165_102021018_NEG640120110483854165_sw_mtf_vis_only.jpg,-1.1349852,-4.894044,1
../data_3\102021019_NEG651956451483599583_102021019_NEG651956451483599583_sw_mtf_vis_only.jpg,-1.1656101,-5.074056,1
../data_3\102021020_NEG656951229482999258_102021020_NEG656951229482999258_sw_mtf_vis_only.jpg,-2.9935815,-3.960311,1
../data_3\102021492_NEG579460447477747720_102021492_NEG579460447477747720_sw_mtf_vis_only.jpg,-0.016085593,-0.6022971,1
../data_3\102021492_NEG580553783482399812_102021492_NEG580553783482399812_sw_mtf_vis_only.jpg,-1.9593911,-3.320657,1
../data_3\102021493_NEG583380599480841946_102021493_NEG583380599480841946_sw_mtf_vis_only.jpg,-1.2802495,-1.015521,1
../data_3\102021493_NEG584317889477816598_102021493_NEG584317889477816598_sw_mtf_vis_only.jpg,-3.429135,-3.1392777,0
../data_3\102021493_NEG586398445479765591_102021493_NEG586398445479765591_sw_mtf_vis_only.jpg,-3.8130934,-3.6035125,0
../data_3\102021493_NEG587807121477852004_102021493_NEG587807121477852004_sw_mtf_vis_only.jpg,-1.2648097,-3.2827432,1
../data_3\102021496_NEG603335199478099381_102021496_NEG603335199478099381_sw_mtf_vis_only.jpg,-2.2264583,-2.4940734,1
../data_3\102021497_NEG611694459481354870_102021497_NEG611694459481354870_sw_mtf_vis_only.jpg,-1.0385213,-0.52549607,1
../data_3\102021497_NEG615658160478755691_102021497_NEG615658160478755691_sw_mtf_vis_only.jpg,-3.6550534,-3.2625818,0
../data_3\102021498_NEG620710751479897662_102021498_NEG620710751479897662_sw_mtf_vis_only.jpg,-1.2998886,-1.6223522,1
../data_3\102021499_NEG628042951482285714_102021499_NEG628042951482285714_sw_mtf_vis_only.jpg,-2.02504,-1.2479782,1
../data_3\102021499_NEG630283151478334717_102021499_NEG630283151478334717_sw_mtf_vis_only.jpg,-1.7288536,-5.194265,1
../data_3\102021499_NEG631323422479949628_102021499_NEG631323422479949628_sw_mtf_vis_only.jpg,-2.7166495,-5.0670023,1
../data_3\102021500_NEG636294430480333264_102021500_NEG636294430480333264_sw_mtf_vis_only.jpg,0.0006232302,-1.1912235,1
../data_3\102021500_NEG636868197478599642_102021500_NEG636868197478599642_sw_mtf_vis_only.jpg,-2.4569786,-2.3331296,1
../data_3\102021501_NEG641175215482169059_102021501_NEG641175215482169059_sw_mtf_vis_only.jpg,-2.2843988,-4.3385425,1
../data_3\102021501_NEG642870048480955813_102021501_NEG642870048480955813_sw_mtf_vis_only.jpg,-0.33272085,-3.922305,1
