image_path,umap_x,umap_y,cluster
../data\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_arcsinh_vis_only.jpg,11.311278,4.503393,4
../data\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_arcsinh_vis_y.jpg,15.550588,-3.1314273,3
../data\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_arcsinh_vis_y_j.jpg,14.079971,-3.0614016,3
../data\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_mtf_vis_j.jpg,10.399079,10.452104,2
../data\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_mtf_vis_only.jpg,10.09827,7.3167686,4
../data\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_mtf_vis_y.jpg,10.466732,10.375059,2
../data\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_mtf_vis_y_j.jpg,-2.6827211,4.2734823,1
../data\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_arcsinh_vis_j.jpg,15.419741,-3.876217,3
../data\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_arcsinh_vis_only.jpg,10.309061,6.0102143,4
../data\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_arcsinh_vis_y.jpg,15.405456,-3.8751204,3
../data\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_arcsinh_vis_y_j.jpg,15.15178,-3.9281158,3
../data\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_mtf_vis_j.jpg,9.46093,9.503518,0
../data\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_mtf_vis_only.jpg,10.0043335,6.5677247,4
../data\102019127_NEG598523367504401932_102019127_NEG598523367504401932_sw_mtf_vis_y.jpg,9.415837,9.542856,0
../data\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_arcsinh_vis_j.jpg,16.358854,-4.5272856,3
../data\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_arcsinh_vis_only.jpg,12.751649,4.1321125,4
../data\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_arcsinh_vis_y.jpg,16.490774,-4.413129,3
../data\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_arcsinh_vis_y_j.jpg,14.159133,-4.8147616,3
../data\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_mtf_vis_j.jpg,8.405719,10.512935,0
../data\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_mtf_vis_only.jpg,8.728899,7.729301,4
../data\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_mtf_vis_y.jpg,8.505116,10.612561,0
../data\102019128_NEG607555025503027911_102019128_NEG607555025503027911_sw_mtf_vis_y_j.jpg,-2.7854261,4.7551503,1
../data\102019128_NEG608928997504779012_102019128_NEG608928997504779012_sw_arcsinh_vis_j.jpg,16.160404,-4.5107074,3
../data\102019128_NEG608928997504779012_102019128_NEG608928997504779012_sw_arcsinh_vis_only.jpg,12.119506,3.889969,4
../data\102019128_NEG608928997504779012_102019128_NEG608928997504779012_sw_arcsinh_vis_y.jpg,16.05683,-4.4753203,3
